primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
HEALTH_FACILITY_TUV-006-002,Kalo,Vaitupu,ISLAND_CLINIC_NOTIFIER,0910000044,k.vaitupu.clinic2,kalo.vaitupu@example.com,test
CRVS_OFFICE_TUV-007-001,Fala,Nukufetau,REGISTRAR,0910000012,f.nukufetau,fala.nukufetau@example.com,test
CRVS_OFFICE_TUV-007-001,Nela,Nukufetau,ISLAND_REGISTRAR,0910000037,n.nukufetau.kaupule,nela.nukufetau@example.com,test
HEALTH_FACILITY_TUV-007-002,Moana,Nukufetau,HEALTH_NOTIFIER,0910000022,m.nukufetau.clinic,moana.nukufetau@example.com,test
HEALTH_FACILITY_TUV-007-002,Tina,Nukufetau,ISLAND_CLINIC_NOTIFIER,0910000045,t.nukufetau.clinic2,tina.nukufetau@example.com,test
CRVS_OFFICE_TUV-008-001,Losa,Nukulaelae,REGISTRAR,0910000013,l.nukulaelae,losa.nukulaelae@example.com,test
CRVS_OFFICE_TUV-008-001,Sami,Nukulaelae,ISLAND_REGISTRAR,0910000038,s.nukulaelae.kaupule,sami.nukulaelae@example.com,test
HEALTH_FACILITY_TUV-008-002,Sefa,Nukulaelae,HEALTH_NOTIFIER,0910000023,s.nukulaelae.clinic,sefa.nukulaelae@example.com,test
HEALTH_FACILITY_TUV-008-002,Peni,Nukulaelae,ISLAND_CLINIC_NOTIFIER,0910000046,p.nukulaelae.clinic2,peni.nukulaelae@example.com,test
CRVS_OFFICE_TUV-009-001,Manase,Niulakita,REGISTRAR,0910000014,m.niulakita,manase.niulakita@example.com,test
HEALTH_FACILITY_TUV-009-002,Noa,Niulakita,HEALTH_NOTIFIER,0910000024,n.niulakita.clinic,noa.niulakita@example.com,test
